Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
あやまる岬,https://www.south-west.co.jp/images/scene_img/asj/ayamarumisaki3.jpg,,,奄美10景のひとつに数えられる景勝地。展望台から水平線を眺めると「地球って本当に丸いんだなぁ」と実感できます。晴れた日の午前中に訪れるのがおススメです。,13,Numbered,green,,28.4735799,129.717406,,,,
MISHORAN CAFÉ,https://www.south-west.co.jp/images/scene_img/asj/mishorancafe.jpg,,,"あやまる岬公園の中にある売店。観光案内所も兼ねています。奄美大島でブログサービスやコンテンツ制作を担うしーまさんが運営しているだけあって、地域と外から来た人を編むようなお店です。しまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2445"" target=""_blank"">島の魅力を編集し、新しい形で伝える場所MISHORAN CAFE-ミショランカフェ-</a>",13,Numbered,green,,28.4719578,129.716022,,,,
土盛海岸,https://www.south-west.co.jp/images/scene_img/asj/tomorikaigan2.jpg,,,空港から車でわずか５分のきれいな海岸。何もしないでいつまでもぼーっと眺めていられます。,13,Numbered,green,,28.4611491,129.718468,,,,
コーラルパームス,https://www.south-west.co.jp/images/hotel_img/nansei/asj/coralpalms.jpg,,,"空港から一番近いリゾートホテル。小型犬と一緒に泊まれるお部屋があって好評なようです。<br /><a href=""https://www.south-west.co.jp/amami/amamiooshima/shukuhaku/coralpalms.htm"" target=""_blank"">コーラルパームス宿泊情報</a>",13,Numbered,blue,,28.4575891,129.720176,,,,
魚匠,https://www.south-west.co.jp/images/scene_img/asj/uoshou.jpg,,,"船上での生き締めなど鮮度維持の徹底によって奄美産海産物の販売拡大に取り組む奄美漁協直営の水産物加工品市場。毎週火、水、土曜日午前１１時から午後２時までは、漁協婦人部の奥さまたちが運営する食堂もオープンします。奄美大島近海でよく獲れる高級魚アオダイを使った「ウンギャル丼」定食がおススメ。しまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2392"" target=""_blank"">新鮮美味な島魚を届けたい！奄美漁協の取り組み</a>",13,Numbered,red,,28.4632127,129.672226,,,,
奄美空港,https://www.south-west.co.jp/images/scene_img/asj/amami_airport.jpg,,,奄美大島の玄関口。レンタカー各社の事務所がすぐ近くにあります。お土産のお店も3店あって、充実しています。,13,Numbered,green,,28.4310102,129.71008,,,,
奄美パーク・田中一村美術館,https://www.south-west.co.jp/images/scene_img/asj/amamipark2.jpg,,,奄美大島の歴史、文化、自然を展示品交え紹介する奄美の郷があります。空港から車で5分、観光の手始めに奄美大島のことを知るのに便利な施設です。奄美の自然をモチーフとした画をたくさん残した日本画家田中一村の美術館も併設しています。,13,Numbered,green,,28.4177578,129.693955,,,,
味の郷かさり,https://www.south-west.co.jp/images/scene_img/asj/ajinosatokasari_tennai.jpg,,,"「自家消費にもおすそ分けにも回らない農家さんの野菜が捨てられるがもったいない」と地元の生活研究グループの女性たちが運営するお店。奄美大島産の野菜や果物が並ぶほか、店の裏のキッチンで手作りした古くから島の家庭に伝わるお菓子、ミキや味噌などを販売している。地元産の珍しい野菜の食べ方も教えてくれるので、一棟貸しの宿に長期で滞在する際の自炊用食材の買い出しにもおススメ。しまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2972"" target=""_blank"">島の野菜の生産者と買い手をつなぐ「味の郷かさり」-</a>",13,Numbered,green,,28.4147333,129.690499,,,,
節田立神,https://www.south-west.co.jp/images/scene_img/asj/setta.jpg,,,"海から豊穣の神様がやってくるとされる奄美大島では、海岸から少し沖にそびえる岩や小島を、神が最初に立ち寄る神聖な場所として信仰の対象としてきました。この岩・小島のことを「立神（たちがみ）」と呼びます。奄美各地にある立神の中でも節田集落の立神は大きく迫力があり、地元の方から祈り・憩い・遊びの場として身近に親しまれています。しまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2201"" target=""_blank"">奄美大島で身近に愛される立神 -節田立神-</a>",13,Numbered,green,,28.4100749,129.681724,,,,
ティダムーン,https://www.south-west.co.jp/images/hotel_img/nansei/asj/thidamoon2.jpg,,,"太平洋を見渡す海辺にたつリゾートホテル。リニューアルごとに洗練の度を増しています。もともとシルクがモチーフで大島紬美術館を併設、貴重な大島紬を多数見学できます。<br /><a href=""https://www.south-west.co.jp/amami/amamiooshima/shukuhaku/thidamoon.htm"" target=""_blank"">ティダムーン宿泊情報</a>",13,Numbered,blue,,28.4101732,129.669092,,,,
ばしゃ山村,https://www.south-west.co.jp/images/hotel_img/nansei/asj/bashayama.jpg,,,"奄美大島では数少ないビーチに面したリゾートホテル。様々な部屋タイプがあり、多様な利用シーンに応えてくれます。レストラン・アマネシアの鶏飯、伊勢海老料理はイチ押しです。<br /><a href=""https://www.south-west.co.jp/amami/amamiooshima/shukuhaku/bashayama.htm"" target=""_blank"">ばしゃ山村宿泊情報</a>",13,Numbered,blue,,28.4034125,129.64765,,,,
きょら海工房,https://www.south-west.co.jp/images/scene_img/asj/kyoraumi2.jpg,,,用安海岸そばに建つカフェ＆ショップ。カフェではオーシャンビューの美しい景色を眺めながら、島の食材を使ったピザやパスタなどが味わえます。併設のショップでは奄美産純黒糖を使ったお菓子などのお土産を販売しています。,13,Numbered,red,,28.4035411,129.646023,,,,
La Fonte,https://www.south-west.co.jp/images/scene_img/asj/lafonte.jpg,,,農園直営のジェラート店。毎日ショーケースに並ぶのは、農園で育てた果実や奄美大島の黒糖を使ったジェラート10種類。通りがかったらどうしても寄ってしまうお店です。,13,Numbered,red,,28.4107252,129.630069,,,,
大島紬村,https://www.south-west.co.jp/images/scene_img/asj/tsumugimura2.jpg,,,大島紬の織元が運営する観光庭園。本場大島紬の製造工程がガイド付きで見学でき、泥染めや手織り、着付けの体験もできます。着物やお土産を販売するショップも併設しています。奄美諸島のさとうきびを使ったビーントゥバーチョコレート、ネサリチョコレートも販売しています。,13,Numbered,green,,28.4071437,129.615812,,,,
ペンショングリーンヒル,https://www.south-west.co.jp/images/hotel_img/nansei/asj/greenhill.jpg,,,"奄美大島でサーフィンといえば、のペンション。有名なサーフスポット手広海岸までわずか徒歩2分、2階のテラスから波も見渡せます。お父さん手作りの無農薬野菜や地のものをふんだんに使った島料理も魅力です。<br /><a href=""https://www.south-west.co.jp/amami/amamiooshima/shukuhaku/greenhill.htm"" target=""_blank"">ペンショングリーンヒル宿泊情報</a>",13,Numbered,blue,,28.4027427,129.615784,,,,
ネイティブシー奄美,https://www.south-west.co.jp/images/hotel_img/nansei/asj/nativesea2.jpg,,,"270度オーシャンビューの抜群の立地。倉崎海岸にも近く、お部屋はもちろんレストラン・廊下からも奄美の美しい海を一望できます。ホテル敷地内の無農薬農園で採れた野菜や島の素材を活かしたレストランの食事もとっても好評です。<br /><a href=""https://www.south-west.co.jp/amami/amamiooshima/shukuhaku/nativesea.htm"" target=""_blank"">ネイティブシー奄美宿泊情報</a>",13,Numbered,blue,,28.4361395,129.628676,,,,
鶏飯ひさ倉,https://www.south-west.co.jp/images/scene_img/asj/hisakura.jpg,,,ご飯に鶏肉や錦糸卵、しいたけなどの具材を載せ、鶏出汁のスープをかけて頂く奄美大島の代表的な郷土料理、鶏飯のお店。鶏飯の他に鳥刺しや串焼きもあります。,13,Numbered,red,,28.4144377,129.601677,,,,
名瀬,https://www.south-west.co.jp/images/scene_img/asj/yanigawa.jpg,,,奄美大島の中心街。地元で通称「やんご通り」と呼ばれる屋仁川通りを中心に飲食店が集まっています。島唄の唄い手唄者が営むお店も。末広市場や永田橋市場を歩いてみるのも面白いです。,13,Numbered,green,,28.3814618,129.493373,,,,
トルトゥーガ,https://www.south-west.co.jp/images/scene_img/asj/tortuga.jpg,,,"名瀬の商店街の入り口にあるアパレルショップ。奄美の方言やフルーツを取り入れた奄美Tシャツはシンプルでカジュアルに着こなせるデザインで、地元の方もよく着ているそう。観光中に着ていると「分かってるね～」と地元の方と話が盛り上がるかも！？しまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2406"" target=""_blank"">「助け合いこそが島らしさ」奄美Tシャツで島盛り上げるセレクトショップTORTUGA（トルトゥーガ）</a>",13,Numbered,green,,28.3783141,129.494483,,,,
奄美市立奄美博物館,https://www.south-west.co.jp/images/scene_img/asj/amamimuseum.jpg,,,"奄美の自然と人の暮らしの関わり「環境文化」をコンセプトに展示している博物館。なるべくどんな人でも楽しめる博物館を目指し、映像やパネルを使うなど展示内容を工夫してきたそう。奄美博物館で奄美の歴史・文化・自然の総体を知って島を周ると、また見る目も違ってきそうです。しまのまの紹介記事はこちら。<br /><a href=""https://shimanoma.jp/archives/2769"" target=""_blank"">自然と共に築いてきた奄美大島の歴史が並ぶ。奄美博物館が伝える「文化」と「環境」</a>",13,Numbered,green,,28.3981767,129.494529,,,,
大浜海浜公園,https://www.south-west.co.jp/images/scene_img/asj/oohamakaihinkouen.jpg,,,名瀬から西へ車で15分ほどにある海沿いの公園。なにせ夕陽が素晴らしいです。隣接するタラソ奄美の竜宮の屋外プールから海に落ちていく夕陽を眺めるのは、極上のリラックスタイムです。公園内にある奄美海洋展示館はウミガメにエサもあげられて、雨の日におススメです。,13,Numbered,green,,28.4047688,129.454841,,,,
金作原原生林,https://www.south-west.co.jp/images/scene_img/asj/kinsakubaru2.jpg,,,"奄美大島の代表的な森金作原原生林。巨大なヒカゲヘゴなどのシダ植物や亜熱帯広葉樹が深い森をなし、天然記念物のルリカケスなど貴重な生物も生息しています。環境への負荷軽減のため、立ち入りには奄美群島認定エコツアーガイドの同行が必要となっています。訪れる際には、認定ガイドのエコツアーに参加しましょう。奄美群島の認定エコツアーガイドさんはしまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2805"" target=""_blank"">自然と文化を最前線で守り、伝えていく。奄美大島のエコツアーガイドたち</a>",13,Numbered,green,,28.3394241,129.448108,,,,
奄美野生動物保護センター,https://www.south-west.co.jp/images/scene_img/asj/yaseiseibutsuhogocenter.jpg,,,奄美大島の貴重な生物について無料で学ぶことができる環境省の施設。アマミノクロウサギや野鳥などのはく製が展示されています。他にも野生生物の保護活動や希少生物の増殖活動に取り組んでおり、最新の調査・研究結果を知ることもできます。,13,Numbered,green,,28.3557245,129.393102,,,,
大棚商店,https://www.south-west.co.jp/images/scene_img/asj/shimanoma_kyoudoushouten.jpg,,,"集落の人々の必要に応えるため、集落の人々の大半が株主として出資・運営する共同商店。奄美に３店あるうちの一つが大和村の大棚商店です。共同商店は商品が売買されるだけでなく、住民同士の語らいの場や、団結の拠点にもなっていて、その存在が防災にも貢献しているといわれています。お店は誰でも利用できるので、島の「結の精神」に触れに訪れてみては！？しまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2421"" target=""_blank"">「ユイ」の精神で集落の暮らしを守る共同売店。みんなの手で作る大棚商店</a>",13,Numbered,green,,28.356661,129.359967,,,,
黒潮の森マングローブパーク,https://www.south-west.co.jp/images/scene_img/asj/mangrovecanoe3.jpg,,,住用町にある日本で2番目の規模のマングローブの森。奄美大島にしか生息していないリュウキュウアユなど貴重な自然を解説・展示したマングローブ館もあります。道の駅住用に併設されていて、ドライブの休憩にぴったりです。（名瀬から約20分）,13,Numbered,green,,28.2595234,129.408863,,,,
高知山展望台,https://www.south-west.co.jp/images/scene_img/asj/kouchiyama.jpg,,,奄美十景にも選ばれている、奄美大島と加計呂間島の間に横たわる美しいリアス式の海岸が続く大島海峡を一望する展望台。駐車場から展望台まで徒歩約5～7分ほどかかりますが、息をのむようなパノラミックな眺望は足を伸ばす価値ありです。,13,Numbered,green,,28.1678333,129.315948,,,,
古仁屋,https://www.south-west.co.jp/images/scene_img/asj/koniya.jpg,,,奄美大島南部の街。加計呂麻島へ渡るフェリー・海上タクシーは古仁屋の港から発着します。名瀬から車で約60分。,13,Numbered,green,,28.1472249,129.312856,,,,
SPICE MAFIA,https://www.south-west.co.jp/images/scene_img/asj/spicemafia.jpg,,,"奄美大島の、ふるさとの良さを伝えたいと古仁屋にUターンした店長がオープンしたカレー屋さん。地元農家を食害で悩ませていたリュウキュウイノシシを材料にクラフトカレーを開発するなど挑戦を重ねています。しまのまでも記事で紹介しました。<br /><a href=""https://shimanoma.jp/archives/2431"" target=""_blank"">「人生に良いスパイスを」島の素材を使ったスパイスカレーが人気のSPICE MAFIA</a>",13,Numbered,red,,28.1479453,129.308858,,,,
HOTEL THE SCENE,https://www.south-west.co.jp/images/hotel_img/nansei/asj/scene_gaikan.jpg,,,"ホノホシ海岸にもほど近いヤドリ浜に面して建つホテル。全室オーシャンビューで加計呂麻島や大島海峡を一望する眺めは抜群です。プライベート感満載のリゾートで快適なバカンスを過ごせます。<br /><a href=""https://www.south-west.co.jp/amami/amamiooshima/shukuhaku/scene.htm"" target=""_blank"">HOTEL THE SCENE宿泊情報</a>",13,Numbered,blue,,28.1260635,129.361708,,,,
大島海峡,https://www.south-west.co.jp/images/scene_img/asj/ooshimakaikyou.jpg,,,"東シナ海と太平洋をつなぐ、奄美大島と加計呂麻島に挟まれた海峡。外洋に比べて波がとても静かで、台風の時でもフェリーなど船舶が避難してくるほど。海況にあまり影響を受けずマリンアクティビティを楽しめます。入り組んだ海岸線も活かして、真珠やマグロの養殖も行われています。大島海峡含む瀬戸内町の海を守る取り組みはしまのまの記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2540"" target=""_blank"">生まれ育った海を後世に。40年以上奄美大島の海を守る「瀬戸内町海を守る会」</a>",13,Numbered,green,,28.1319516,129.296262,,,,
安脚場戦跡公園,https://www.south-west.co.jp/images/scene_img/asj/ankyaba.jpg,,,加計呂麻島の東端にあって、大島海峡と太平洋を見渡すことができる安脚場（あんきゃば）。ここは太平洋戦争中、大島海峡内の海軍泊地を守るための防衛施設でした。公園内には通信施設や弾薬庫のあとが残っています。眼下に広がる穏やかな海を眺めつつ、歴史を思う場所になっています。,13,Numbered,green,,28.1078089,129.35138,,,,
来々夏ハウス,https://www.south-west.co.jp/images/hotel_img/nansei/asj/coconuts.jpg,,,"加計呂麻島海岸沿いのペンション。目の前の砂浜はまるでプライベートビーチのよう。テラスからの眺めも絶景です。オーナーは有名な釣り師でおいしい魚を食べさせてくれます。<br /><a href=""https://www.south-west.co.jp/amami/amamiooshima/shukuhaku/coconutshouse.htm"" target=""_blank"">来々夏ハウス宿泊情報</a>",13,Numbered,blue,,28.1096794,129.33559,,,,
ダイビング＆ペンションRIKI,https://www.south-west.co.jp/images/hotel_img/nansei/asj/riki.jpg,,,"ダイビングサービスを併設し、加計呂麻島でダイバーご用達のペンション。ダイビング後には温かいジャグジーでゆっくりと。ペンション前に広がる芝生も自慢の一つです。<br /><a href=""https://www.south-west.co.jp/amami/amamiooshima/shukuhaku/pensionriki.htm"" target=""_blank"">ダイビング＆ペンションリキ宿泊情報</a>",13,Numbered,blue,,28.1136047,129.306428,,,,
諸鈍,https://www.south-west.co.jp/images/scene_img/asj/deigo2.jpg,,,加計呂麻島の南東の端にある集落。堤防沿いにならぶデイゴの並木は5月末～6月頭にかけて1週間だけ赤い花を咲かせます。旧暦9月9日には、源平の戦いに敗れ落ちのびてきた平資盛(たいらのすけもり)が土地の人と交流するために伝えたといわれる諸鈍シバヤ（国指定重要無形民俗文化財）が開催されます。,13,Numbered,green,,28.0933926,129.326015,,,,
西阿室,https://www.south-west.co.jp/images/scene_img/asj/nishiamuro.jpg,,,加計呂麻島の西岸にある集落。夕陽の眺めがとてもきれいです。天気のいい日に、与路島（よろじま）や須子茂離（すこもばなれ）の間に沈んでいく夕日は神秘的です。,13,Numbered,green,,28.1119858,129.218321,,,,
